'167', '980', '2', '2'
'38', '980', '8', '2'
'79', '979', '15', '3'
'151', '977', '14', '5'
'136', '977', '15', '5'
'51', '976', '9', '6'
'19', '976', '4', '6'
'0', '976', '16', '4'
'221', '975', '11', '7'
'111', '975', '9', '7'
'67', '975', '33', '6'
'208', '974', '20', '8'
'39', '971', '1', '1'
'218', '970', '8', '4'
'209', '968', '9', '6'
'155', '967', '14', '12'
'42', '965', '2', '2'
'221', '963', '17', '8'
'158', '963', '3', '7'
'168', '961', '5', '3'
'150', '960', '20', '6'
'119', '959', '13', '8'
'0', '959', '31', '21'
'92', '958', '9', '4'
'34', '958', '3', '5'
'9', '958', '13', '7'
'221', '957', '15', '11'
'119', '955', '40', '27'
'9', '955', '18', '13'
'223', '953', '13', '12'
'117', '953', '11', '6'
'208', '952', '15', '15'
'165', '952', '13', '28'
'59', '951', '4', '1'
'221', '950', '3', '3'
'217', '949', '3', '3'
'409', '948', '34', '34'
'211', '947', '39', '11'
'153', '944', '6', '8'
'0', '944', '5', '7'
'213', '943', '13', '7'
'58', '943', '4', '2'
'2', '943', '21', '14'
'54', '941', '16', '9'
'71', '940', '9', '7'
'9', '940', '5', '3'
'136', '939', '8', '2'
'209', '936', '7', '19'
'150', '936', '3', '2'
'113', '936', '6', '6'
'66', '936', '4', '4'
'177', '935', '1', '1'
'125', '935', '5', '4'
'0', '934', '8', '4'
'21', '933', '1', '1'
'129', '932', '27', '13'
'218', '931', '4', '8'
'130', '931', '14', '4'
'96', '931', '4', '4'
'23', '931', '100', '51'
'125', '930', '1', '1'
'188', '929', '9', '34'
'316', '928', '35', '13'
'233', '928', '4', '5'
'110', '928', '4', '1'
'171', '927', '1', '1'
'36', '926', '23', '12'
'176', '925', '5', '5'
'333', '924', '14', '3'
'238', '924', '14', '18'
'0', '924', '86', '32'
'39', '921', '25', '10'
'5', '921', '12', '14'
'0', '921', '4', '5'
'330', '917', '17', '6'
'138', '917', '3', '8'
'89', '917', '2', '2'
'246', '915', '13', '9'
'24', '915', '6', '4'
'331', '913', '16', '7'
'177', '912', '6', '5'
'116', '912', '3', '1'
'201', '910', '15', '62'
'81', '910', '5', '5'
'22', '910', '133', '47'
'51', '909', '8', '3'
'37', '909', '6', '4'
'306', '908', '65', '74'
'372', '907', '97', '57'
'140', '907', '2', '10'
'123', '907', '6', '3'
'333', '904', '4', '5'
'111', '904', '1', '2'
'78', '904', '1', '1'
'86', '903', '5', '3'
'39', '903', '13', '16'
'41', '903', '2', '1'
'324', '902', '7', '11'
'0', '901', '25', '22'
'223', '899', '6', '4'
'142', '896', '8', '32'
'73', '894', '5', '3'
'66', '894', '5', '2'
'318', '893', '7', '6'
'214', '893', '45', '57'
'51', '893', '30', '20'
'0', '893', '3', '2'
'246', '892', '2', '2'
'231', '892', '13', '9'
'0', '888', '14', '15'
'192', '887', '1', '1'
'252', '886', '2', '9'
'341', '883', '6', '23'
'3', '883', '25', '10'
'244', '882', '4', '9'
'20', '882', '2', '2'
'219', '881', '3', '12'
'166', '880', '4', '27'
'140', '880', '10', '26'
'52', '880', '27', '14'
'0', '880', '9', '11'
'316', '879', '1', '1'
'172', '879', '8', '43'
'194', '878', '17', '60'
'317', '875', '1', '1'
'84', '875', '2', '1'
'187', '874', '5', '10'
'21', '874', '2', '3'
'153', '873', '14', '2'
'127', '873', '54', '71'
'222', '872', '69', '110'
'88', '872', '4', '3'
'0', '868', '7', '5'
'123', '867', '2', '3'
